Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,75,Bedford,Bedford,11:00AM,Crown Heights
7/8/2026,48,DeKalb,Dekalb,11:00AM,Crown Heights
7/8/2026,105,Greenpoint,Greenpoint,11:00AM,Crown Heights
7/8/2026,0,Leonard,Leonard,11:00AM,Crown Heights
7/8/2026,84,Marcy,Marcy,11:00AM,Crown Heights
7/8/2026,37,Bedford,Bedford,12:00PM,Crown Heights
7/8/2026,31,DeKalb,Dekalb,12:00PM,Crown Heights
7/8/2026,77,Greenpoint,Greenpoint,12:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,12:00PM,Crown Heights
7/8/2026,28,Marcy,Marcy,12:00PM,Crown Heights
7/8/2026,36,Bedford,Bedford,2:00PM,Crown Heights
7/8/2026,39,DeKalb,Dekalb,2:00PM,Crown Heights
7/8/2026,80,Greenpoint,Greenpoint,2:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,2:00PM,Crown Heights
7/8/2026,33,Leonard,Leonard,2:00PM,Crown Heights
7/8/2026,35,Marcy,Marcy,2:00PM,Crown Heights
7/8/2026,46,DeKalb,Dekalb,3:00PM,Crown Heights
7/8/2026,75,Greenpoint,Greenpoint,3:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,3:00PM,Crown Heights
7/8/2026,25,Leonard,Leonard,3:00PM,Crown Heights
7/8/2026,44,Marcy,Marcy,3:00PM,Crown Heights
7/8/2026,43,DeKalb,Dekalb,4:00PM,Crown Heights
7/8/2026,88,Greenpoint,Greenpoint,4:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,4:00PM,Crown Heights
7/8/2026,29,Marcy,Marcy,4:00PM,Crown Heights
7/8/2026,32,DeKalb,Dekalb,5:00PM,Crown Heights
7/8/2026,90,Greenpoint,Greenpoint,5:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,5:00PM,Crown Heights
7/8/2026,24,Marcy,Marcy,5:00PM,Crown Heights
7/8/2026,30,DeKalb,Dekalb,6:00PM,Crown Heights
7/8/2026,90,Greenpoint,Greenpoint,6:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,6:00PM,Crown Heights
7/8/2026,16,Marcy,Marcy,6:00PM,Crown Heights
7/8/2026,1,DeKalb,Dekalb,7:00PM,Crown Heights
7/8/2026,4,Greenpoint,Greenpoint,7:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,7:00PM,Crown Heights
7/8/2026,1,Marcy,Marcy,7:00PM,Crown Heights
